Landmark,Frame,X,Y
78,19.0,342,296
78,20.0,342,296
78,21.0,343,295
78,22.0,342,295
78,23.0,343,295
78,24.0,342,294
78,25.0,340,294
78,26.0,341,294
78,27.0,339,294
78,28.0,340,294
78,29.0,340,293
95,1.0,347,308
95,2.0,347,309
95,3.0,346,309
95,4.0,346,310
95,5.0,346,310
95,6.0,346,310
95,7.0,347,312
95,8.0,348,313
95,9.0,347,313
95,10.0,347,313
95,11.0,346,312
95,12.0,346,312
95,13.0,347,310
95,14.0,346,309
95,15.0,348,306
95,16.0,347,305
95,17.0,348,305
95,18.0,348,304
95,19.0,349,304
95,20.0,349,303
95,21.0,350,303
95,22.0,349,303
95,23.0,350,302
95,24.0,349,301
95,25.0,347,300
95,26.0,347,299
95,27.0,346,298
95,28.0,346,298
95,29.0,346,296
88,1.0,353,312
88,2.0,353,312
88,3.0,351,312
88,4.0,351,313
88,5.0,351,314
88,6.0,352,314
88,7.0,352,317
88,8.0,353,318
88,9.0,352,318
88,10.0,353,317
88,11.0,352,316
88,12.0,352,316
88,13.0,353,314
88,14.0,352,313
88,15.0,354,310
88,16.0,353,309
88,17.0,354,309
88,18.0,354,308
88,19.0,355,308
88,20.0,355,307
88,21.0,355,306
88,22.0,355,306
88,23.0,356,305
88,24.0,354,304
88,25.0,352,302
88,26.0,353,302
88,27.0,351,300
88,28.0,351,300
88,29.0,352,297
178,1.0,361,315
178,2.0,362,315
178,3.0,360,315
178,4.0,360,317
178,5.0,360,318
178,6.0,360,317
178,7.0,361,321
178,8.0,361,323
178,9.0,361,322
178,10.0,361,322
178,11.0,361,320
178,12.0,361,320
178,13.0,362,317
178,14.0,361,317
178,15.0,363,313
178,16.0,362,312
178,17.0,363,313
178,18.0,363,311
178,19.0,364,311
178,20.0,364,310
178,21.0,364,310
178,22.0,364,310
178,23.0,364,308
178,24.0,363,307
178,25.0,360,304
178,26.0,361,304
178,27.0,360,302
178,28.0,360,302
178,29.0,360,298
87,1.0,372,317
87,2.0,372,317
87,3.0,370,318
87,4.0,371,319
87,5.0,371,320
87,6.0,371,319
87,7.0,371,324
87,8.0,372,326
87,9.0,372,325
87,10.0,372,325
87,11.0,372,323
87,12.0,372,323
87,13.0,373,320
87,14.0,373,320
87,15.0,374,316
87,16.0,373,314
87,17.0,374,315
87,18.0,374,313
87,19.0,375,314
87,20.0,375,312
87,21.0,375,312
87,22.0,375,312
87,23.0,375,311
87,24.0,374,309
87,25.0,371,306
87,26.0,371,305
87,27.0,370,303
87,28.0,370,303
87,29.0,371,299
14,1.0,386,318
14,2.0,385,317
14,3.0,384,318
14,4.0,384,319
14,5.0,384,321
14,6.0,384,320
14,7.0,385,325
14,8.0,385,326
14,9.0,385,326
14,10.0,385,326
14,11.0,385,323
14,12.0,386,323
14,13.0,387,320
14,14.0,386,320
14,15.0,387,316
14,16.0,386,315
14,17.0,388,316
14,18.0,387,314
14,19.0,389,314
14,20.0,388,313
14,21.0,389,313
14,22.0,388,313
14,23.0,388,311
14,24.0,387,310
14,25.0,384,306
14,26.0,384,306
14,27.0,383,303
14,28.0,383,304
14,29.0,383,299
317,1.0,398,316
317,2.0,397,316
317,3.0,396,316
317,4.0,397,317
317,5.0,397,319
317,6.0,397,318
317,7.0,397,323
317,8.0,398,324
317,9.0,398,324
317,10.0,398,323
317,11.0,398,321
317,12.0,399,321
317,13.0,400,318
317,14.0,399,318
317,15.0,400,314
317,16.0,399,313
317,17.0,401,314
317,18.0,400,312
317,19.0,401,312
317,20.0,401,311
317,21.0,401,311
317,22.0,401,311
317,23.0,400,310
317,24.0,399,308
317,25.0,396,305
317,26.0,396,305
317,27.0,395,302
317,28.0,395,303
317,29.0,395,298
402,1.0,408,313
402,2.0,407,313
402,3.0,406,313
402,4.0,406,314
402,5.0,406,315
402,6.0,406,314
402,7.0,407,319
402,8.0,407,320
402,9.0,407,320
402,10.0,407,319
402,11.0,408,317
402,12.0,408,317
402,13.0,410,315
402,14.0,409,315
402,15.0,409,311
402,16.0,408,310
402,17.0,410,310
402,18.0,409,309
402,19.0,411,309
402,20.0,410,308
402,21.0,411,308
402,22.0,410,308
402,23.0,410,307
402,24.0,409,306
402,25.0,406,303
402,26.0,406,302
402,27.0,404,300
402,28.0,405,301
402,29.0,404,296
318,1.0,415,309
318,2.0,414,309
318,3.0,414,309
318,4.0,414,309
318,5.0,414,310
318,6.0,414,310
318,7.0,414,313
318,8.0,414,315
318,9.0,415,314
318,10.0,414,314
318,11.0,415,313
318,12.0,416,313
318,13.0,417,310
318,14.0,416,310
318,15.0,417,307
318,16.0,416,306
318,17.0,418,306
318,18.0,417,305
318,19.0,418,304
318,20.0,418,304
318,21.0,418,304
318,22.0,418,304
318,23.0,417,303
318,24.0,417,302
318,25.0,413,300
318,26.0,413,300
318,27.0,412,298
318,28.0,412,298
318,29.0,412,295
324,1.0,419,305
324,2.0,418,305
324,3.0,418,305
324,4.0,418,305
324,5.0,418,306
324,6.0,419,306
324,7.0,418,308
324,8.0,418,309
324,9.0,419,309
324,10.0,419,309
324,11.0,420,308
324,12.0,420,308
324,13.0,422,306
324,14.0,421,306
324,15.0,421,303
324,16.0,420,303
324,17.0,422,302
324,18.0,421,301
324,19.0,423,300
324,20.0,422,300
324,21.0,422,300
324,22.0,422,300
324,23.0,422,299
324,24.0,421,299
324,25.0,418,297
324,26.0,418,297
324,27.0,417,296
324,28.0,417,296
324,29.0,417,294
308,1.0,425,297
308,2.0,424,298
308,3.0,424,297
308,4.0,424,297
308,5.0,424,297
308,6.0,424,297
308,7.0,424,297
308,8.0,423,299
308,9.0,424,299
308,10.0,424,299
308,11.0,425,299
308,12.0,426,299
308,13.0,427,298
308,14.0,426,297
308,15.0,427,295
308,16.0,426,295
308,17.0,428,293
308,18.0,427,293
308,19.0,428,292
308,20.0,428,292
308,21.0,428,292
308,22.0,428,292
308,23.0,427,292
308,24.0,427,292
308,25.0,424,292
308,26.0,423,291
308,27.0,423,291
308,28.0,422,291
308,29.0,423,291
78,1.0,340,301
78,2.0,341,303
78,3.0,339,301
78,4.0,339,302
78,5.0,339,302
78,6.0,339,302
78,7.0,340,302
78,8.0,341,303
78,9.0,340,303
78,10.0,340,303
78,11.0,339,303
78,12.0,339,303
78,13.0,340,302
78,14.0,339,301
78,15.0,341,299
78,16.0,340,298
78,17.0,341,297
78,18.0,341,296
78,19.0,342,296
78,20.0,342,296
78,21.0,343,295
78,22.0,342,295
78,23.0,343,295
78,24.0,342,294
78,25.0,340,294
78,26.0,341,294
78,27.0,339,294
78,28.0,340,294
78,29.0,340,293
191,1.0,346,295
191,2.0,347,297
191,3.0,345,295
191,4.0,345,296
191,5.0,345,296
191,6.0,345,296
191,7.0,346,295
191,8.0,347,296
191,9.0,346,297
191,10.0,346,297
191,11.0,346,297
191,12.0,346,297
191,13.0,347,296
191,14.0,346,295
191,15.0,347,293
191,16.0,346,293
191,17.0,347,291
191,18.0,348,291
191,19.0,349,290
191,20.0,349,290
191,21.0,349,289
191,22.0,349,289
191,23.0,349,290
191,24.0,348,289
191,25.0,346,289
191,26.0,347,289
191,27.0,345,289
191,28.0,346,289
191,29.0,346,290
80,1.0,354,293
80,2.0,354,295
80,3.0,352,293
80,4.0,352,293
80,5.0,352,293
80,6.0,353,293
80,7.0,353,291
80,8.0,354,293
80,9.0,353,294
80,10.0,354,294
80,11.0,353,295
80,12.0,353,295
80,13.0,354,294
80,14.0,353,293
80,15.0,355,291
80,16.0,354,291
80,17.0,355,289
80,18.0,355,288
80,19.0,356,287
80,20.0,356,287
80,21.0,356,287
80,22.0,356,287
80,23.0,357,287
80,24.0,356,287
80,25.0,353,287
80,26.0,354,286
80,27.0,352,287
80,28.0,352,287
80,29.0,353,288
81,1.0,362,291
81,2.0,363,293
81,3.0,361,290
81,4.0,361,291
81,5.0,361,290
81,6.0,361,291
81,7.0,361,289
81,8.0,362,291
81,9.0,362,291
81,10.0,362,291
81,11.0,362,293
81,12.0,362,293
81,13.0,363,292
81,14.0,362,291
81,15.0,364,289
81,16.0,363,289
81,17.0,364,287
81,18.0,364,286
81,19.0,365,285
81,20.0,365,285
81,21.0,365,285
81,22.0,365,285
81,23.0,365,285
81,24.0,364,285
81,25.0,361,285
81,26.0,362,285
81,27.0,360,286
81,28.0,361,286
81,29.0,362,287
82,1.0,372,290
82,2.0,373,292
82,3.0,371,289
82,4.0,371,290
82,5.0,371,289
82,6.0,371,289
82,7.0,371,287
82,8.0,372,290
82,9.0,372,290
82,10.0,372,290
82,11.0,372,292
82,12.0,372,292
82,13.0,374,291
82,14.0,373,290
82,15.0,374,288
82,16.0,373,288
82,17.0,375,286
82,18.0,374,285
82,19.0,375,284
82,20.0,375,284
82,21.0,375,284
82,22.0,375,284
82,23.0,375,284
82,24.0,374,284
82,25.0,371,284
82,26.0,372,284
82,27.0,371,285
82,28.0,371,285
82,29.0,371,287
13,1.0,385,289
13,2.0,384,292
13,3.0,382,289
13,4.0,383,289
13,5.0,383,289
13,6.0,383,289
13,7.0,383,287
13,8.0,383,289
13,9.0,384,290
13,10.0,384,290
13,11.0,384,291
13,12.0,385,291
13,13.0,386,290
13,14.0,385,289
13,15.0,386,288
13,16.0,386,288
13,17.0,387,285
