Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
270,327,323,327,322,328,323,328,323,328,322,328,322,328,322,327,322,327,322,327,323,327,323,325,325,326,325,326,325,325,325,326,324,326,325,326,325,325,325,325,325,324,326,325,326,324,325,324,325,324,324,324,325,323,326,323,326,322,327,322,328,322,327,322,327,322,327,323,327,323,327,323,327,323,327,323,328,323,328,323,327,325,328,324,329,326,326,328,326,327,325,328,325,327,327,327,327,326,327,327,327,326,327,326,327,325,327
409,334,328,335,327,335,327,335,328,335,327,335,327,335,327,335,327,335,328,334,328,334,328,332,330,333,330,333,330,333,330,333,329,333,330,333,330,333,330,332,330,332,331,332,331,331,331,332,330,331,330,331,330,330,331,330,331,330,332,330,332,330,331,330,332,330,331,330,331,331,331,331,331,331,331,331,332,331,332,331,331,332,332,332,333,334,331,335,330,335,330,336,329,335,331,335,331,334,331,335,331,334,331,334,331,333,331
291,338,335,339,334,339,334,339,335,339,334,340,334,340,334,339,334,339,335,339,335,338,335,336,337,337,337,337,337,337,337,337,336,337,337,337,337,337,337,337,338,336,338,337,338,336,338,336,337,336,337,336,338,335,338,335,338,335,339,335,339,334,338,335,338,335,337,335,338,336,337,336,338,336,337,336,338,336,338,336,337,337,338,336,339,339,337,340,337,340,336,341,336,339,337,340,336,339,336,339,336,338,337,338,337,337,337
78,243,340,243,340,244,340,244,341,243,341,243,341,242,341,243,341,242,341,242,341,242,342,243,343,242,343,243,343,243,343,243,343,242,343,242,343,241,344,240,345,240,345,240,345,240,345,239,344,240,344,240,345,240,345,240,345,238,345,239,345,239,344,239,344,239,343,239,343,239,343,239,343,239,343,240,343,239,343,240,343,241,344,241,345,241,344,241,345,241,344,241,344,241,343,241,343,242,342,241,342,241,343,241,343,241,344
95,250,346,250,345,251,346,251,346,250,347,250,347,249,348,249,347,249,348,249,348,249,349,249,348,249,349,249,349,249,349,249,349,248,350,248,350,247,351,247,352,247,351,246,352,247,351,246,351,247,352,247,352,247,352,246,351,245,352,245,351,246,350,245,350,246,349,245,349,246,349,245,349,246,349,246,349,246,350,246,349,248,350,247,350,248,351,248,352,248,350,248,350,248,347,248,347,248,346,247,347,248,347,247,347,248,348
88,255,349,255,348,256,348,256,349,255,350,255,350,255,351,255,351,254,352,254,351,254,351,254,350,254,351,254,352,254,351,255,351,253,353,253,353,253,354,252,355,252,354,252,355,252,354,251,355,252,356,252,356,252,355,252,355,250,355,251,355,251,354,250,354,251,353,250,353,251,353,251,353,251,352,251,352,251,353,252,352,253,353,253,353,253,354,254,356,253,353,254,354,253,349,253,349,254,348,253,349,253,350,253,350,253,350
178,264,351,264,351,264,351,264,351,264,352,264,352,263,354,263,353,263,355,263,354,263,354,263,352,263,354,263,354,263,354,263,354,262,356,262,356,261,357,261,358,261,357,260,358,261,356,260,357,261,359,261,360,260,358,260,358,259,359,259,358,259,357,259,357,259,356,259,356,259,356,259,356,260,355,260,355,260,356,261,355,261,356,261,356,262,357,263,359,262,356,263,357,262,351,262,351,262,350,262,352,262,352,261,352,261,351
87,274,353,275,352,275,352,275,353,275,354,275,354,274,355,274,355,274,357,274,356,274,356,273,353,273,355,273,356,273,356,274,356,273,358,273,358,272,359,272,360,272,358,271,360,271,358,271,360,271,361,271,362,271,360,271,359,270,361,270,360,270,359,269,359,270,358,270,358,270,358,270,358,271,357,271,356,270,358,271,357,272,358,272,357,273,359,274,361,273,358,274,358,273,352,273,352,273,351,273,354,273,353,272,353,272,353
14,288,353,288,353,288,353,288,353,289,354,288,355,288,356,288,356,288,357,287,356,287,356,286,353,286,355,287,356,287,356,287,356,286,358,286,358,286,359,285,361,285,358,285,360,285,358,284,360,285,361,285,362,284,361,284,360,283,361,283,360,283,359,283,359,283,358,283,358,283,358,283,358,284,357,284,357,284,358,284,357,285,358,285,357,287,359,288,361,287,358,288,358,286,352,286,352,286,351,286,354,286,354,285,353,285,353
317,301,351,301,351,301,350,302,351,302,352,302,352,302,353,301,353,301,355,301,354,301,353,299,351,300,353,300,353,300,354,300,353,300,355,299,355,299,357,299,358,298,356,299,358,298,356,298,357,299,359,299,359,297,358,297,357,296,359,296,358,296,357,296,357,296,356,296,356,297,356,297,356,297,355,297,354,297,356,298,355,299,356,298,355,300,357,301,358,300,356,302,356,299,350,300,350,299,349,299,352,299,351,299,351,298,351
402,311,348,312,348,312,347,312,348,312,349,312,349,312,350,312,350,312,351,311,350,311,350,309,348,310,350,310,350,310,350,310,350,310,352,310,352,310,353,309,354,309,352,309,354,308,352,309,354,309,355,309,355,308,354,307,354,307,355,307,354,307,353,307,353,307,352,307,352,308,353,308,352,308,352,308,351,308,353,308,351,309,353,309,352,311,353,312,354,311,352,312,352,310,347,311,347,310,347,310,348,310,348,310,348,309,347
318,319,344,320,344,320,344,320,344,321,345,321,345,321,346,320,346,320,347,320,346,319,346,318,345,318,346,318,346,318,346,318,346,318,348,318,348,318,349,318,350,317,348,318,350,317,348,317,349,317,350,317,351,316,350,316,350,316,350,315,350,315,349,315,349,316,348,316,348,316,348,316,348,317,348,316,347,317,349,317,347,318,349,317,348,319,349,321,349,320,348,321,348,320,344,320,344,319,344,319,345,318,345,319,345,317,344
324,324,341,325,340,325,340,325,341,325,341,326,341,326,342,325,342,325,342,325,342,324,342,322,342,323,343,323,343,323,343,323,343,323,344,323,344,323,344,323,345,322,345,322,345,321,344,322,345,322,345,322,346,321,346,321,346,320,346,320,346,320,345,320,345,321,344,321,344,321,344,322,344,322,344,321,344,322,345,321,343,323,345,322,345,324,345,326,345,325,344,326,344,325,341,325,341,324,341,325,342,323,342,324,342,322,342
308,330,334,331,334,331,334,331,334,331,334,332,334,332,334,331,334,331,334,331,335,330,335,328,336,329,336,328,336,329,336,329,336,329,336,329,336,329,337,329,337,328,338,329,338,327,337,328,337,328,337,328,338,326,338,326,338,326,339,326,339,326,338,326,338,326,337,327,337,327,337,328,337,328,337,327,337,328,338,327,337,329,338,328,338,330,337,332,337,331,336,332,336,331,337,332,336,330,336,331,336,330,336,330,337,329,336
78,243,340,243,340,244,340,244,341,243,340,243,341,242,341,243,341,242,341,242,341,242,342,243,343,243,343,243,343,243,343,243,343,242,343,241,343,241,344,240,345,240,345,240,345,240,345,239,344,240,344,240,345,240,345,240,345,238,345,239,345,239,344,239,344,239,343,239,343,239,343,239,343,239,343,240,343,239,343,240,343,241,344,241,345,241,344,241,345,241,344,241,344,241,343,241,343,242,342,241,342,241,343,241,343,241,344
191,250,336,250,335,251,336,251,336,250,336,250,336,249,336,249,336,248,336,249,336,248,337,249,339,249,338,249,338,249,338,249,338,248,338,248,338,247,339,247,339,247,340,246,340,247,340,246,339,246,339,247,339,247,340,246,340,245,340,245,340,246,339,245,340,246,339,245,339,245,339,245,339,246,339,246,339,246,339,247,339,248,340,248,341,248,339,248,340,248,339,248,339,248,340,248,339,249,339,248,339,248,339,247,339,247,340
80,257,334,257,333,258,334,258,334,257,333,257,334,256,334,256,334,256,334,256,334,255,335,256,337,255,336,256,336,256,336,256,336,255,336,255,336,254,337,254,337,254,338,253,338,254,338,253,337,253,336,253,337,254,338,253,338,252,339,252,339,252,338,252,338,252,338,252,338,252,338,252,338,253,338,253,338,253,338,254,338,255,339,255,340,255,338,256,338,255,337,255,337,255,339,255,338,256,338,255,338,255,338,254,338,254,339
81,265,333,265,332,266,332,266,333,265,332,265,332,265,332,264,332,264,332,264,333,263,333,264,335,263,335,263,335,264,335,264,334,263,334,263,335,262,335,262,335,262,336,262,336,262,336,261,335,261,334,261,335,261,336,261,336,260,337,260,338,260,337,260,337,260,336,260,337,260,337,260,337,261,337,261,338,261,337,262,337,263,338,263,339,263,337,264,337,263,336,264,336,263,338,263,338,264,338,263,337,263,337,263,337,262,338
82,275,332,275,331,276,331,276,331,275,331,275,331,275,331,274,331,274,331,274,332,273,332,273,334,273,334,273,334,274,334,274,333,273,333,273,333,272,333,272,334,272,335,272,335,272,334,271,334,271,333,271,333,271,335,271,335,270,337,270,337,270,336,270,336,270,336,270,336,270,336,270,337,271,337,271,337,271,337,271,337,272,337,272,338,273,336,274,336,273,335,274,334,274,338,274,337,274,337,273,337,273,337,273,337,272,337
13,286,331,287,330,287,331,287,331,287,330,287,330,287,330,286,330,286,331,286,331,286,331,285,333,285,333,285,333,285,333,286,332,285,333,285,333,284,333,284,333,284,334,283,334,283,334,283,334,283,332,283,333,283,334,282,335,281,336,281,336,281,336,281,336,282,336,281,336,282,336,282,336,282,337,283,337,282,337,283,336,284,337,284,338,285,335,286,335,285,334,286,334,285,337,285,337,286,337,285,336,285,336,285,337,284,337
312,298,330,299,329,299,330,299,330,299,329,299,329,299,329,298,329,298,329,298,330,298,330,296,332,297,332,297,332,297,332,297,331,296,332,297,332,296,332,296,332,295,333,295,333,295,332,295,332,295,331,295,332,294,333,294,334,293,335,293,335,293,334,293,335,293,334,293,335,294,335,294,335,294,335,294,336,294,336,295,335,296,336,295,337,297,334,298,333,297,333,298,332,297,336,297,336,297,336,297,335,297,335,297,335,296,336
311,308,330,309,329,309,329,309,329,309,329,309,329,309,329,308,329,308,329,308,329,308,329,306,332,307,331,307,331,307,331,307,331,307,331,307,331,306,331,306,332,305,332,306,333,305,332,305,332,305,331,305,331,304,332,304,333,303,334,303,335,303,334,303,334,304,334,304,334,304,334,304,334,305,335,304,335,304,335,305,334,306,335,305,336,307,333,309,333,308,332,309,332,308,335,308,335,307,335,308,334,307,334,307,334,306,335
310,316,330,317,329,317,330,317,330,317,329,317,329,317,329,317,329,317,329,316,330,316,330,314,332,315,332,315,332,315,332,315,331,315,332,315,332,314,331,314,332,313,333,314,333,313,333,313,332,313,331,313,332,312,333,312,333,312,334,312,335,312,334,312,334,312,333,312,334,313,334,313,334,313,334,313,334,313,335,313,334,314,335,314,335,315,333,317,333,316,332,318,332,316,334,317,334,316,334,316,334,315,334,316,334,315,334
415,323,331,324,330,324,330,324,331,324,330,324,330,324,330,324,330,324,330,323,331,323,331,321,332,322,332,322,333,322,333,322,332,322,332,322,332,321,332,321,333,320,334,321,334,320,333,321,333,320,333,320,333,319,334,319,334,319,335,319,335,319,334,319,335,319,334,320,334,320,334,320,334,321,334,320,335,320,335,320,334,322,335,321,335,323,334,324,333,324,333,325,332,324,334,324,334,323,334,324,333,322,334,323,334,322,334
308,330,334,331,334,331,334,331,334,331,334,331,334,332,334,331,334,331,334,331,335,330,335,328,336,329,336,328,336,329,336,329,336,329,336,329,336,329,337,329,337,328,338,329,338,327,337,328,337,328,337,328,338,326,338,326,338,326,339,326,339,326,338,326,338,326,337,327,337,327,337,328,337,328,337,327,337,328,338,327,337,329,338,328,338,330,337,332,337,331,336,332,336,331,337,332,336,331,336,331,336,330,337,330,337,329,336
